Date,Alphabet Inc- A shares (GOOGL),Amazon.com Inc (AMZN),Facebook Inc (FB),Microsoft Corp (MSFT),TESLA Inc.,Morgan Stanley (MS),Ferrari N.V. (RACE.MI),Assicurazioni Generali S.p.A. (G.MI),Juventus Football Club S.p.A. (JUVE.MI),Piaggio & C. SpA (PIA.MI),Toscana Aeroporti S.p.A. (TYA.MI),Valsoia S.p.A. (VLS.MI),Bayer Aktiengesellschaft (BAYN.DE),Ryanair Holdings plc (RY4C.IR),Crdit Agricole S.A. (ACA.PA),"Cisco Systems, Inc. (CSCO)"
4-Jan-16,699.6874,586.87173,94.17735,46.19284,41.16643,25.6297,41.7336,11.8179,0.23926,1.8482,13.003,17.7484,92.23299,14.865,8.14874,20.8776
5-Jan-16,703.3262599999998,585.3493900000002,94.87835,46.51689,41.27065,25.5291,42.6128,11.9419,0.24074,1.8007,12.8028,17.923,92.39927,15.01,8.18324,20.8334
6-Jan-16,706.22277,588.40273,95.76832,45.99285,40.74408,25.0674,42.62236,11.7157,0.2423,1.7598,12.9073,17.6872,91.06999,15.34,7.987539999999999,20.7564
7-Jan-16,687.44782,564.0040799999998,90.8433,44.28186,40.01299,23.7585,41.23666,11.6938,0.23945,1.6927,13.0117,17.4166,88.74484,14.74,7.7919100000000014,20.2268
8-Jan-16,668.96514,555.60232,89.08126,43.82015,38.62354000000001,22.9536,38.74239,11.5698,0.23945,1.6452,12.6723,18.342,86.29394,14.965,7.6844899999999985,19.4599
11-Jan-16,670.0185799999998,564.60811,89.12316,43.73475,37.99456,22.9866,37.57648,11.2416,0.23328,1.6035,12.7419,18.5341,85.38076,14.95,7.71518,19.8174
12-Jan-16,686.4432,569.0643,91.51778,44.47368,38.67563,23.1624,38.71372,11.402,0.23116,1.5707,12.7419,18.4119,86.54375999999998,15.265,7.80342,20.0322
13-Jan-16,663.56572,536.5276,88.01189000000002,43.56931,36.94397,21.9129,38.27412,11.6282,0.233,1.6649,12.7854,18.473,86.66783000000002,15.1,7.80725,19.4647
14-Jan-16,671.86234,544.73586,90.36369,44.6366,37.87981,22.0394,36.50615,11.4896,0.22959,1.5969,12.8899,18.1325,85.42211,14.7,7.707510000000001,19.4368
15-Jan-16,654.29037,525.07887,87.45789,42.96167,37.75507,21.1341,35.31158,11.2343,0.22655,1.5634,12.5243,17.565,83.55357,14.4,7.44279,18.6635
18-Jan-16,650.63126,522.14237,86.96879,42.72141,37.54392,21.0159,34.14567,10.9935,0.2249,1.5527,12.2893,16.6134,83.92727,14.415,6.95095,18.5591
19-Jan-16,660.00738,527.28628,87.43436,42.45826,37.58044,21.2993,37.07954,11.0738,0.22287,1.5355,12.4025,17.2158,85.13179000000002,14.73,7.12206,18.7828
20-Jan-16,658.44526,523.93574,86.45668,42.58124,36.41535,20.4383,34.59483,10.6361,0.21274,1.4439,12.4721,16.5087,83.4289,14.395,6.77985,18.005
21-Jan-16,668.0788,528.65633,86.56791,42.46131,36.7693,20.1322,35.83719,10.833,0.22333000000000006,1.4127,12.124,16.692,85.71329,14.495,6.9386800000000015,18.0645
22-Jan-16,686.30025,549.05124,90.16748,44.04453,37.29512,20.8352,36.90752,10.8841,0.23162,1.52,12.2371,17.7833,87.66456,14.4,7.12052,18.4608
25-Jan-16,679.33942,552.39274,89.83223000000002,43.87782,36.36997,20.4412,35.78941,10.658,0.23199,1.4962,12.3676,18.1936,87.87218,14.08,6.9371399999999985,18.4095
26-Jan-16,676.11407,553.99174,89.68907,43.97973,35.66924,20.7547,36.17167,10.3224,0.23254,1.5453,12.4286,18.019,87.4983,14.29,7.107480000000002,18.7527
27-Jan-16,660.45344,536.90946,86.93083,43.13154,34.61955,20.7565,36.22901,10.1838,0.23374,1.5953,12.4895,18.246,87.24932,13.86,7.0484,18.5031
28-Jan-16,686.0115099999998,582.4634599999998,100.0277,43.66599,34.78187,20.5116,34.69996,9.76797,0.22959,1.5609,11.7584,17.9055,84.67436,13.37,6.850439999999999,18.1784
